"title","count(title)"
"PIVS",214
"ANIMO",213
"EXCIPIO",213
"PELLO",213
"FRONS/1",213
"OLIM",213
"PROHIBEO",211
"DEFERO",211
"ARA",211
"LATEO",211
"SVSCIPIO",211
"HERBA",211
"IVNO/N",210
"AVCTOR",210
"SANCTVS",210
"NARRO",210
"QVONDAM",210
"PREX",210
"PVDOR",210
"ANTIQVVS",209
"MORBVS",209
"FINGO",209
"NVBES",209
"PRAESTO/1",209
"DENS",209
"RETINEO",208
"GAVDIVM",208
"IVDICO",208
"LEO",207
"FLEO",207
"LVDVS",206
"CIBVS",206
"PATRIVS",206
"DIMITTO",206
"POETA",206
"TENTO",205
"SENATOR",205
"PRAESENS",204
"PROTINVS",204
"ARVVM",204
"OCCVPO/2",204
"EO/3",204
"AEVVM",204
"SVPERBVS/2",204
"PROMITTO",204
"AETERNVS",203
"BARBARVS/2",203
"TEMPESTAS",202
"RVS",202
"PAVPER",202
"PHOEBVS/N",202
"GEMINVS",202
"OPTO",201
"VLTIMVS",201
"MEMORIA",201
"MONEO",200
"HAEREO",200
"DVBITO",200
"SPARGO/2",200
"AVGEO",200
"TESTIS/1",199
"SINVS",198
"VICTORIA",198
"LAEDO",198
"QVANTVM/3",198
"MAGISTER",198
"COGITO",197
"FORTE",197
"CONOR",197
"CAVEO",197
"DICTVM",197
"BEATVS",196
"MARITVS/2",196
"PRINCIPIVM",196
"IMPERATOR",196
"PRAEMIVM",196
"EXERCEO/2",196
"PRETIVM",195
"CVRRVS",195
"BIS",195
"CRINIS",195
"ACCIDO/1",194
"RARVS",194
"RIPA",194
"PATEO",194
"VOLVO",193
"QVA/1",193
"PROCEDO/1",193
"IMMO",193
"PERPETVVS",193
"CONTEMNO",192
"CAREO",192
"COMA",192
"CLAMO",192
"PRECOR",191
"VOLO/2",191
"TVRNVS/N",191
"DVBIVS",191
"DIVIDO",191
"ADDVCO",191
"CINGO",191
"VERSVS/1",191
"IVVENIS/1",190
"FATEOR",190
"AES",190
"IDEO",190
"LABORO",189
"SONO/1",189
"LIBIDO",189
"APOLLO/N",189
"SAECVLVM",189
"ENSIS",188
"IMPROBVS",188
"PLEBS",188
"TROIA/N",188
"CONSISTO",188
"QVEROR",188
"SVPRA/2",188
"ARX",188
"FLECTO",188
"PROSVM/1",188
"QVOTIENS/2",187
"EDO/1",187
"HOSPES",187
"AVIS",187
"LVCIVS/N",186
"PIETAS",186
"INTRA/2",185
"VEREOR",185
"PARIO/2",185
"REMITTO",185
"EMO",185
"AVCTORITAS",185
"VENENVM",185
"NEMVS",185
"INVIDIA",184
"OFFERO",184
"DIVITIAE",184
"AMNIS",184
"VERTEX",184
"NOTVS/2",184
"PORTO",184
"HVMVS",184
"NOSTRI",183
"MONSTRVM",183
"PERFICIO",182
"DIFFERO",182
"CAEDO",182
"STATVA",181
"CAECVS",181
"FVNVS",181
"ORA",180
"TENEBRAE",180
"GRANDIS",180
"ATER",180
"COMPONO",179
"CELER",179
"ADVERSVS/1",179
"TER",179
"COLOR",178
"MARCVS/N",178
"INTERIM",178
"MALE",178
"RELIGIO",178
"CAPILLVS",178
"FLVO",177
"NONDVM",177
"AETHER",177
"DECLAMITO",177
"PAREO",177
"ODIVM",176
"ICTVS",175
"BRACHIVM",175
"HASTA",175
"PAENE",175
"NAMQVE",175
"PENDEO",175
"DICO/1",175
"DEXTERA",174
"CVSTOS",174
"LIBERI",174
"SEMEL",174
"ARTVS/1",173
"REDVCO",173
"PERCVTIO",173
"INTRO/1",173
"AEDES",173
"CANDIDVS",172
"POSTVLO",172
"HVMERVS",172
"PASCO",172
"OS/2",172
"IMBER",172
"DOLEO",172
"DESINO",172
"PROPERO",172
"VACVVS",171
"PECCO",171
"FACINVS",171
"DONEC",171
"OMNINO",171
"CAELESTIS",171
"NEVE/1",170
"PAVLO",170
"SOCIVS/2",170
"CERVIX",170
"LIBERTAS",169
"VINCVLVM",169
"REMOVEO",169
"NYMPHA",168
"FIGO",168
"CONSVLO",168
"INIMICVS/2",168
"SEX",167
"HIEMS",167
"EXIGO",167
"MAIOR",167
"CREBER",167
"TVRBO/2",167
"FINIO",167
"PLACIDVS",167
"TABVLA",166
"TERREO",166
"COLLIGO/3",166
"FRIGVS",166
"HABITO",166
"ADEO/1",166
"ARMO",166
"CONSPICIO",165
"DIFFICILIS",165
"INCENDO",165
"CRVDELIS",165
"VOTVM",165
"QVID",164
"TORQVEO",164
"MAGISTRATVS",164
"REGINA",164
"LONGE",164
"LVPVS",164
"SECVRVS",164
"SVPPLICIVM",163
"DEFICIO",163
"MVLTVM/2",163
"RECENS/1",162
"COLLIS",162
"POTENS",162
"HEV",162
"EXTREMVS",162
"VETO",162
"LIBELLVS",162
"LVNA",162
"PERMITTO",161
"NEGOTIVM",161
